violatelabels,0to1labels,1to0labels,,,,
3,3,0,,,,
8,0,8,,,,
15,0,15,,0to1num,1to0num,othernum
24,24,0,,33,32,8
91,91,0,,,,
3,0,3,,,,
110,0,110,,,,
5,5,0,,,,
10,3,7,,,,
99,99,0,,,,
3,3,0,,,,
2,0,2,,,,
19,0,19,,,,
38,0,38,,,,
144,144,0,,,,
4,2,2,,,,
46,39,7,,,,
1,1,0,,,,
6,3,3,,,,
28,28,0,,,,
142,0,142,,,,
86,86,0,,,,
61,0,61,,,,
16,0,16,,,,
1,1,0,,,,
46,5,41,,,,
1,1,0,,,,
133,133,0,,,,
15,0,15,,,,
7,0,7,,,,
143,143,0,,,,
149,0,149,,,,
114,114,0,,,,
3,0,3,,,,
28,10,18,,,,
134,0,134,,,,
59,59,0,,,,
3,0,3,,,,
3,3,0,,,,
9,0,9,,,,
28,28,0,,,,
56,56,0,,,,
48,0,48,,,,
143,0,143,,,,
98,0,98,,,,
63,63,0,,,,
3,0,3,,,,
53,53,0,,,,
9,0,9,,,,
3,3,0,,,,
46,45,1,,,,
145,145,0,,,,
110,0,110,,,,
2,2,0,,,,
4,0,4,,,,
2,0,2,,,,
1,1,0,,,,
109,109,0,,,,
6,0,6,,,,
3,0,3,,,,
11,11,0,,,,
2,2,0,,,,
48,48,0,,,,
5,5,0,,,,
37,0,37,,,,
6,0,6,,,,
108,0,108,,,,
9,3,6,,,,
157,0,157,,,,
61,61,0,,,,
47,0,47,,,,
32,0,32,,,,
1,1,0,,,,
