"descendantnodes","descendantlevels","sigmadescendants","ancestornodes","ancestorlevels","sigmaancestors"
"5",12,-1.67929024604558,"6",11,1.13694155758142
"5",12,-0.442190638469577,"26",10,1.13694155758142
"5",12,-2.76541308851623,"27",8,1.13694155758142
"5",12,1.5345706461749,"31",9,1.13694155758142
"5",12,-6.38038096635228,"32",7,1.13694155758142
"5",12,-4.28433341572711,"33",7,1.13694155758142
"5",12,-4.48738830736047,"34",8,1.13694155758142
"5",12,-4.46186120786492,"35",6,1.13694155758142
"5",12,-1.82535720922412,"36",6,1.13694155758142
"5",12,-0.0479050392930753,"38",7,1.13694155758142
"5",12,-4.66491609949829,"39",6,1.13694155758142
"5",12,-0.834562403251082,"6",11,2.55958016283147
"5",12,-0.320060736744161,"26",10,2.55958016283147
"5",12,-0.967672071997095,"27",8,2.55958016283147
"5",12,1.33392280091777,"31",9,2.55958016283147
"5",12,-3.77184364068488,"32",7,2.55958016283147
"5",12,-1.82845877325708,"33",7,2.55958016283147
"5",12,-1.96851265851937,"34",8,2.55958016283147
"5",12,-2.26214621062265,"35",6,2.55958016283147
"5",12,-0.31869304719543,"36",6,2.55958016283147
"5",12,0.460876578756642,"38",7,2.55958016283147
"5",12,-2.40220009588494,"39",6,2.55958016283147
"162",4,-2.47700337970775,"98",3,2.72668252298171
"163",5,-2.47700337970775,"98",3,0.584479586862541
"162",4,-2.21234454767187,"100",2,2.72668252298171
"163",5,-2.21234454767187,"100",2,0.584479586862541
"185",10,1.47433669865784,"142",8,2.71604800697091
"185",10,-1.05051871291822,"143",9,2.71604800697091
"185",10,0.0457836633135179,"144",7,2.71604800697091
"185",10,0.0930039545695348,"145",7,2.71604800697091
"186",8,0.0930039545695348,"145",7,-1.17081106433697
"41",8,3.66489176872804,"43",7,0.734868979133983
"80",10,3.66489176872804,"43",7,1.5387673549101
"81",9,3.66489176872804,"43",7,0.246165038600895
"82",8,3.66489176872804,"43",7,0.994886718134527
"41",8,0.872013452223259,"45",6,0.734868979133983
"80",10,0.872013452223259,"45",6,1.5387673549101
"81",9,0.872013452223259,"45",6,0.246165038600895
"82",8,0.872013452223259,"45",6,0.994886718134527
"41",8,-0.828048803831188,"46",6,0.734868979133983
"80",10,-0.828048803831188,"46",6,1.5387673549101
"81",9,-0.828048803831188,"46",6,0.246165038600895
"82",8,-0.828048803831188,"46",6,0.994886718134527
"134",8,-0.828048803831188,"46",6,-0.0678999536182333
"41",8,3.45427453622311,"48",5,0.734868979133983
"80",10,3.45427453622311,"48",5,1.5387673549101
"81",9,3.45427453622311,"48",5,0.246165038600895
"82",8,3.45427453622311,"48",5,0.994886718134527
"190",8,-3.46324780249243,"155",7,-0.0246984174593239
"190",8,-3.3345910406687,"157",6,-0.0246984174593239
"191",7,-3.3345910406687,"157",6,-1.7450990987041
"190",8,-0.98691427377114,"158",5,-0.0246984174593239
"191",7,-0.98691427377114,"158",5,-1.7450990987041
"192",6,-0.98691427377114,"158",5,-1.20461086308758
"163",5,1.98881849265981,"162",4,0.126277536573327
"5",12,-0.24945393647853,"6",11,1.93369682764701
"5",12,1.01008580621893,"26",10,1.93369682764701
"5",12,-1.75226369872075,"27",8,1.93369682764701
"5",12,2.32321367071237,"31",9,1.93369682764701
"5",12,-4.96793427909985,"32",7,1.93369682764701
"5",12,-2.67315972296242,"33",7,1.93369682764701
"5",12,-3.11461850652581,"34",8,1.93369682764701
"5",12,-2.99536688648655,"35",6,1.93369682764701
"5",12,-0.516650847719138,"36",6,1.93369682764701
"5",12,1.16597371245787,"38",7,1.93369682764701
"5",12,-3.43682567004995,"39",6,1.93369682764701
"204",12,3.01241404678836,"4",11,-0.379716130047
"120",8,3.12861559240454,"92",7,3.94181690687113
"41",8,-0.0946025627949945,"47",5,-0.843921007301405
"43",7,-0.0946025627949945,"47",5,2.92192856400538
"45",6,-0.0946025627949945,"47",5,0.771326613193875
"46",6,-0.0946025627949945,"47",5,-0.355763450140291
"6",11,1.49614576508318,"30",4,-1.21624677125683
"25",7,1.49614576508318,"30",4,1.86893391664035
"26",10,1.49614576508318,"30",4,0.206812503445379
"27",8,1.49614576508318,"30",4,0.276927719625791
"28",6,1.49614576508318,"30",4,-0.578854282164827
"29",5,1.49614576508318,"30",4,1.42852505324735
"31",9,1.49614576508318,"30",4,0.606535554031908
"32",7,1.49614576508318,"30",4,-1.54141500352737
"33",7,1.49614576508318,"30",4,0.0167647284484282
"34",8,1.49614576508318,"30",4,0.037909449688305
"35",6,1.49614576508318,"30",4,-0.599999003404704
"36",6,1.49614576508318,"30",4,0.870835890915675
"38",7,1.49614576508318,"30",4,-0.425069463587405
"39",6,1.49614576508318,"30",4,-0.578854282164827
"6",11,-0.377427018439188,"37",5,-1.21624677125683
"26",10,-0.377427018439188,"37",5,0.206812503445379
"27",8,-0.377427018439188,"37",5,0.276927719625791
"31",9,-0.377427018439188,"37",5,0.606535554031908
"33",7,-0.377427018439188,"37",5,0.0167647284484282
"34",8,-0.377427018439188,"37",5,0.037909449688305
"36",6,-0.377427018439188,"37",5,0.870835890915675
"38",7,-0.377427018439188,"37",5,-0.425069463587405
"80",10,0.320955244244687,"43",7,-0.0123172073927478
"81",9,0.320955244244687,"43",7,0.261649332269484
"82",8,0.320955244244687,"43",7,1.01553244302598
"80",10,-1.45916418343855,"45",6,-0.0123172073927478
"81",9,-1.45916418343855,"45",6,0.261649332269484
"82",8,-1.45916418343855,"45",6,1.01553244302598
"80",10,-2.44981014194814,"46",6,-0.0123172073927478
"81",9,-2.44981014194814,"46",6,0.261649332269484
"82",8,-2.44981014194814,"46",6,1.01553244302598
"134",8,-2.44981014194814,"46",6,1.01058394437027
"80",10,1.49954879353141,"48",5,-0.0123172073927478
"81",9,1.49954879353141,"48",5,0.261649332269484
"82",8,1.49954879353141,"48",5,1.01553244302598
"125",10,-0.95303297624903,"91",8,1.46207488795097
"126",9,-0.95303297624903,"91",8,0.960320204173556
"43",7,-1.08457624952019,"46",6,-1.54094317795513
"43",7,-1.0173040737946,"47",5,-1.54094317795513
"45",6,-1.0173040737946,"47",5,1.35186653860623
"95",8,-0.733691924215186,"98",3,-1.45028204139104
"96",5,-0.733691924215186,"98",3,-1.21807037636587
"97",4,-0.733691924215186,"98",3,0.212318441383111
"95",8,-0.337451951479664,"100",2,-1.45028204139104
"96",5,-0.337451951479664,"100",2,-1.21807037636587
"97",4,-0.337451951479664,"100",2,0.212318441383111
"99",3,-0.337451951479664,"100",2,-0.0590077221135413
"41",8,2.41978926577957,"43",7,-0.15238146167429
"80",10,2.41978926577957,"43",7,1.15749201388563
"81",9,2.41978926577957,"43",7,-0.0733014574983321
"82",8,2.41978926577957,"43",7,0.568931390002224
"41",8,-0.156436029126991,"44",6,-0.15238146167429
"41",8,-1.08046618498489,"45",6,-0.15238146167429
"80",10,-1.08046618498489,"45",6,1.15749201388563
"81",9,-1.08046618498489,"45",6,-0.0733014574983321
"82",8,-1.08046618498489,"45",6,0.568931390002224
"41",8,0.0670845998261955,"47",5,-0.15238146167429
"46",6,0.0670845998261955,"47",5,-1.102243876846
"80",10,0.0670845998261955,"47",5,1.15749201388563
"81",9,0.0670845998261955,"47",5,-0.0733014574983321
"82",8,0.0670845998261955,"47",5,0.568931390002224
"134",8,0.0670845998261955,"47",5,0.323441397806765
"141",6,0.0670845998261955,"47",5,1.62784420588435
"41",8,1.72669756587236,"48",5,-0.15238146167429
"80",10,1.72669756587236,"48",5,1.15749201388563
"81",9,1.72669756587236,"48",5,-0.0733014574983321
"82",8,1.72669756587236,"48",5,0.568931390002224
"41",8,6.88787238859017,"55",5,-0.15238146167429
"41",8,-1.79170406978549,"56",4,-0.15238146167429
"41",8,0.867659384811026,"44",6,0.236369116418804
"41",8,6.88985841795066,"55",5,0.236369116418804
"41",8,-1.82621013524013,"56",4,0.236369116418804
